2374M0fQpWi3dLnB54qaLX	Africa	TOTO	76	6	Place Your Bets
7e89621JPkKaeDSTQ3avtg	Sweet Home Alabama	Lynyrd Skynyrd	87	5	Place Your Bets
6e8Ou0wiqAzIpWb2eSxll8	Miami	Will Smith	62	5	Place Your Bets
3MrRksHupTVEQ7YbA0FsZK	The Final Countdown	Europe	111	6	Place Your Bets
4DMKwE2E2iYDKY01C335Uw	Carry on Wayward Son	Kansas	91	8	Place Your Bets
7GqIDx2QVGOpd4r1fZaUUW	25 or 6 to 4 - 2002 Remaster	Chicago	27	7	Place Your Bets
1QEEqeFIZktqIpPI4jSVSF	More Than a Feeling	Boston	31	7	Place Your Bets
1nmZ8yqKkfooOuYvtFctDp	Heat Of The Moment	Asia	31	6	Place Your Bets
28ZCSdsVrt0BCaBhRI0HXq	Take My Breath Away (as heard in Top Gun) (Re-Recorded / Remastered)	Berlin	80	8	Place Your Bets
2BY7ALEWdloFHgQZG6VMLA	Brandy (You're a Fine Girl)	Looking Glass	54	8	Ladies' Night
2SpEHTbUuebeLkgs9QB7Ue	Jolene	Dolly Parton	32	7	Ladies' Night
3zByVQLvdXUaDTubfWkpCk	Sweet Caroline	Neil Diamond	66	6	Ladies' Night
6kooDsorCpWVMGc994XjWN	Black Betty	Ram Jam	41	7	Ladies' Night
1HOMkjp0nHMaTnfAkslCQj	My Sharona	The Knack	62	7	Ladies' Night
7sqK6f8dHVx3Q1GjFrVyGl	Sherry	Frankie Valli & The Four Seasons	62	4	Ladies' Night
6gJdDnF2TzfA1WPMXuCa3x	Proud Mary	Tina Turner	166	6	Ladies' Night
6iXQrhhgBisdfvS34EMTZ3	Mandy	Barry Manilow	57	5	Ladies' Night
3EYOJ48Et32uATr9ZmLnAo	Roxanne	The Police	36	5	Ladies' Night
1MkoCFGbhPQIDI5lRdAheQ	Tom Sawyer	Rush	23	6	Every Man for Himself
0NWPxcsf5vdjdiFUI8NgkP	Hey Joe	Jimi Hendrix	23	7	Every Man for Himself
0qxYx4F3vm1AOnfux6dDxP	You Can Call Me Al	Paul Simon	44	7	Every Man for Himself
2ov8L95QD25TLpZAZPYWXL	Mr. Crowley	Ozzy Osbourne	75	7	Every Man for Himself
2HoqbEOXgbDSLZ5XCePEXt	Hit the Road Jack	Ray Charles	27	7	Every Man for Himself
2QfiRTz5Yc8DdShCxG1tB2	Johnny B. Goode	Chuck Berry	29	6	Every Man for Himself
4BM8yJ0PzBi2ZewpMTOxtx	Fernando	ABBA	109	6	Every Man for Himself
2F1fnE1a8zQCogM6jJifHH	Jessie's Girl	Rick Springfield	57	7	Every Man for Himself
1uBsu3PbD2909UBIfEMLvK	Jumpin' Jack Flash	The Rolling Stones	36	8	Every Man for Himself
7pLuEMFougkSHXrPBtNxTR	Smooth Operator	Sade	8	9	Let's Get Saxxy
4jDmJ51x1o9NZB5Nxxc7gY	Careless Whisper	George Michael	1	9	Let's Get Saxxy
5BCykgPXc7zEBg2oU0klvy	Who Can It Be Now?	Men At Work	1	8	Let's Get Saxxy
0mZNKyrUmsrlDRoYHWsyMu	I Want A New Drug	Huey Lewis & The News	101	9	Let's Get Saxxy
2ZAx6NDhX2yE5aL5ueEQgY	Mr. Saxobeat	Alexandra Stan	2	8	Let's Get Saxxy
41dDygR3r7e926oGUXfrLt	I Can't Go for That (No Can Do)	Daryl Hall & John Oates	162	8	Let's Get Saxxy
0WfSc8grEKeHrgxo3stsat	She Works Hard For The Money - Single Version	Donna Summer	179	8	Let's Get Saxxy
2dCmGcEOQrMQhMMS8Vj7Ca	Super Freak	Rick James	178	8	Let's Get Saxxy
7j74lucZ59vqN67Ipe2ZcY	Maneater	Daryl Hall & John Oates	196	9	Let's Get Saxxy
